row_index,failure_type,actual_grade,predicted_grade,title,start_date,genre_group,venue,venue_type,organizer_type,organizer
62,취약 등급 누락,D,C,한국-오스트리아 수교 130주년 기념 : 브루크너 오케스트라 린츠 내한공연,2022-10-26,클래식,콘서트홀,대형,대관,(주)인아츠프로덕션
80,취약 등급 누락,D,C,한화클래식 2022: 율리아 레즈네바와 베니스 바로크 오케스트라,2022-12-03,클래식,콘서트홀,대형,대관,제이에스바흐
82,취약 등급 누락,D,C,국립심포니 : DRs Pick Ⅳ - 천지창조,2022-12-09,클래식,콘서트홀,대형,대관,(재)국립심포니오케스트라
84,취약 등급 누락,D,C,파보 예르비 & 도이치 캄머필하모닉,2022-12-15,클래식,콘서트홀,대형,대관,(주)빈체로
89,취약 등급 누락,D,C,프랑스 스트라스부르 국립 오케스트라 공연,2022-12-20,클래식,콘서트홀,대형,대관,라보라 예술기획
90,취약 등급 누락,D,C,조수미 and 프렌즈 - In Love,2022-12-23,클래식,콘서트홀,대형,대관,크레디아뮤직앤아티스트
91,취약 등급 누락,D,C,KBS교향악단 제785회 정기연주회,2022-12-24,클래식,콘서트홀,대형,대관,(재)KBS 교향악단
109,취약 등급 누락,D,C,콜레기움 보칼레 서울의 바흐 마태 수난곡,2023-03-02,클래식,콘서트홀,대형,대관,콜레기움 보칼레 서울
110,취약 등급 누락,D,C,쇼팽 피아노 콩쿠르 우승자 브루스 리우 피아노 리사이틀,2023-03-04,클래식,콘서트홀,대형,대관,(주)마스트미디어
113,취약 등급 누락,D,C,정명훈 & 드레스덴 슈타츠카펠레 브람스 교향곡 전곡(3.7),2023-03-07,클래식,콘서트홀,대형,대관,(주)빈체로
118,취약 등급 누락,D,C,부산엑스포 유치 기원 신춘음악회,2023-03-23,클래식,콘서트홀,대형,대관,(재)국립심포니오케스트라
121,취약 등급 누락,D,C,밤베르크 심포니,2023-03-29,클래식,콘서트홀,대형,대관,(주)빈체로
123,취약 등급 누락,D,C,KBS교향악단 제788회 정기연주회,2023-04-01,클래식,콘서트홀,대형,대관,(재)KBS 교향악단
124,취약 등급 누락,D,C,영국소년합창단 리베라 내한공연 <Forever>,2023-04-05,클래식,콘서트홀,대형,대관,서울예술기획(주)
134,취약 등급 누락,D,C,브레멘필하모닉 첫 서울공연,2023-04-25,클래식,콘서트홀,대형,대관,라보라 예술기획
167,취약 등급 누락,D,C,루체른 심포니 & 아우구스틴 하델리히,2023-06-27,클래식,콘서트홀,대형,대관,(주)빈체로
175,취약 등급 누락,D,C,루돌프 부흐빈더 베토벤 피아노 소나타 전곡 Ⅵ,2023-07-08,클래식,콘서트홀,대형,대관,(주)빈체로
186,취약 등급 누락,D,C,"2023 국립합창단 여름합창축제Ⅰ<칼 오르프, `카르미나 부라나`>",2023-08-30,클래식,콘서트홀,대형,대관,(재)국립합창단
187,취약 등급 누락,D,C,KBS교향악단 제793회 정기연주회,2023-09-01,클래식,콘서트홀,대형,대관,(재)KBS 교향악단
204,취약 등급 누락,D,C,런던 필하모닉,2023-10-07,클래식,콘서트홀,대형,대관,(주)빈체로
208,취약 등급 누락,D,C,취리히 톤할레 오케스트라,2023-10-13,클래식,콘서트홀,대형,대관,(주)빈체로
231,취약 등급 누락,D,C,안드리스 넬손스 & 라이프치히 게반트하우스 오케스트라(11.16),2023-11-16,클래식,콘서트홀,대형,대관,(주)마스트미디어
242,취약 등급 누락,D,C,2023 서울시향 얍 판 츠베덴의 베토벤 삼중 협주곡 ②,2023-12-01,클래식,콘서트홀,대형,대관,(재)서울시립교향악단
248,취약 등급 누락,D,C,경기필 마스터피스 시리즈 XI <스트라빈스키 봄의 제전>,2023-12-08,클래식,콘서트홀,대형,대관,재단법인 경기아트센터
264,취약 등급 누락,D,C,2023 리처드 용재 오닐 송년 콘서트,2023-12-29,클래식,콘서트홀,대형,대관,크레디아뮤직앤아티스트
271,취약 등급 누락,D,C,필하모닉 앙상블(빈 필하모닉 멤버 13인) 2024 신년음악회,2024-01-07,클래식,콘서트홀,대형,대관,(주)두미르
281,취약 등급 누락,D,C,한수진과 브리티시 오리지널,2024-02-07,클래식,콘서트홀,대형,대관,주식회사 에스에이치아트앤클래식
289,취약 등급 누락,D,C,강남심포니오케스트라 제103회 정기연주회,2024-02-21,클래식,콘서트홀,대형,대관,재단법인 강남문화재단
292,취약 등급 누락,D,C,KBS교향악단 제799회 정기연주회,2024-02-24,클래식,콘서트홀,대형,대관,(재)KBS 교향악단
293,취약 등급 누락,D,C,라파우 블레하츠 피아노 리사이틀,2024-02-27,클래식,콘서트홀,대형,대관,(주)마스트미디어
295,취약 등급 누락,D,C,드미트리 시쉬킨 피아노 리사이틀,2024-03-01,클래식,콘서트홀,대형,대관,주식회사 엔오에이(NOA Inc.)
304,취약 등급 누락,D,C,경기필하모닉 마스터즈 시리즈 I _ 베토벤 교향곡 3번,2024-03-15,클래식,콘서트홀,대형,대관,재단법인 경기아트센터
310,취약 등급 누락,D,C,2024 서울시향 얍 판 츠베덴과 토머스 햄프슨 ①,2024-03-28,클래식,콘서트홀,대형,대관,(재)서울시립교향악단
312,취약 등급 누락,D,C,KBS교향악단 제800회 정기연주회,2024-03-29,클래식,콘서트홀,대형,대관,(재)KBS 교향악단
345,취약 등급 누락,D,C,힐러리 한 & 안드레아스 해플리거 듀오 리사이틀,2024-05-11,클래식,콘서트홀,대형,대관,(주)마스트미디어
367,취약 등급 누락,D,C,강남심포니오케스트라 제105회 정기연주회,2024-06-05,클래식,콘서트홀,대형,대관,재단법인 강남문화재단
371,취약 등급 누락,D,C,필하모니코리아 정기연주회,2024-06-08,클래식,콘서트홀,대형,대관,(주)더브릿지컴퍼니
372,취약 등급 누락,D,C,당 타이 손 피아노 리사이틀,2024-06-09,클래식,콘서트홀,대형,대관,(주)마스트미디어
379,취약 등급 누락,D,C,루돌프 부흐빈더 베토벤 피아노 협주곡 전곡Ⅰ,2024-06-26,클래식,콘서트홀,대형,대관,(주)빈체로
404,취약 등급 누락,D,C,고잉홈프로젝트: 베토벤 전곡 시리즈 4. 전원 교향곡 외,2024-08-13,클래식,콘서트홀,대형,대관,고잉홈프로젝트
423,취약 등급 누락,D,C,마리아 조앙 피레스 피아노 리사이틀,2024-09-20,클래식,콘서트홀,대형,대관,(주)인아츠프로덕션
439,취약 등급 누락,D,C,콘체르토 마라톤 프로젝트 - 선우예권의 라흐마니노프 피아노 협주곡,2024-10-15,클래식,콘서트홀,대형,대관,(주)마스트미디어
472,취약 등급 누락,D,C,국립심포니오케스트라 <말러 교향곡 1번 `거인`>,2024-12-07,클래식,콘서트홀,대형,대관,(재)국립심포니오케스트라
473,취약 등급 누락,D,C,고잉홈프로젝트: 베토벤 전곡 시리즈 finale. 합창 환상곡 & 합창 교향곡,2024-12-08,기타,콘서트홀,대형,대관,고잉홈프로젝트
479,취약 등급 누락,D,C,KBS교향악단 제809회 정기연주회(12.24),2024-12-24,클래식,콘서트홀,대형,대관,(재)KBS 교향악단
484,취약 등급 누락,D,C,2024 예술의전당 제야음악회,2024-12-31,기타,콘서트홀,대형,기획,예술의전당
436,취약 등급 누락,E,B,손민수 피아노 리사이틀 -바흐 골드베르크 변주곡,2024-10-13,클래식,콘서트홀,대형,대관,주식회사 목프로덕션
6,취약 등급 누락,E,C,[시네마 필름 콘서트] 러브레터 & 냉정과 열정사이,2022-02-20,클래식,콘서트홀,대형,대관,(주)스톰프뮤직
8,취약 등급 누락,E,C,랑랑 피아노 리사이틀,2022-02-23,클래식,콘서트홀,대형,대관,(주)마스트미디어
17,취약 등급 누락,E,C,일리야 라쉬코프스키 라흐마니노프 3개의 피아노협주곡,2022-03-30,클래식,콘서트홀,대형,대관,(사)밀레니엄심포니오케스트라
45,취약 등급 누락,E,C,루돌프 부흐빈더 피아노 리사이틀,2022-06-04,클래식,콘서트홀,대형,대관,(주)빈체로
51,취약 등급 누락,E,C,유자 왕 피아노 리사이틀,2022-06-19,클래식,콘서트홀,대형,대관,(주)마스트미디어
73,취약 등급 누락,E,C,지브리 페스티벌,2022-11-20,클래식,콘서트홀,대형,대관,(주)스톰프뮤직
79,취약 등급 누락,E,C,손열음의 커튼콜,2022-12-01,클래식,콘서트홀,대형,대관,주식회사 파이플랜즈
144,취약 등급 누락,E,C,"2023 일리야 라쉬코프스키, 라흐마니노프 3개의 피아노협주곡",2023-05-16,클래식,콘서트홀,대형,대관,두남재엔터테인먼트 주식회사
190,취약 등급 누락,E,C,도이치방송오케스트라&손열음,2023-09-13,클래식,콘서트홀,대형,대관,라보라 예술기획
191,취약 등급 누락,E,C,2023 서울시향 만프레트 호네크의 차이콥스키 비창 ②,2023-09-15,클래식,콘서트홀,대형,대관,(재)서울시립교향악단
192,취약 등급 누락,E,C,국립심포니오케스트라 - 라흐마니노프 교향곡 2번,2023-09-17,클래식,콘서트홀,대형,대관,(재)국립심포니오케스트라
233,취약 등급 누락,E,C,국립심포니오케스트라 - 베를리오즈 로미오와 줄리엣,2023-11-17,클래식,콘서트홀,대형,대관,(재)국립심포니오케스트라
343,취약 등급 누락,E,C,2024 서울시향 얍 판 츠베덴과 힐러리 한 ②,2024-05-10,클래식,콘서트홀,대형,대관,(재)서울시립교향악단
375,취약 등급 누락,E,C,2024 서울시향 바실리 페트렌코의 드보르자크 교향곡 8번 ①,2024-06-20,클래식,콘서트홀,대형,대관,(재)서울시립교향악단
387,취약 등급 누락,E,C,지브리 OST 콘서트 : 디 오케스트라,2024-07-07,클래식,콘서트홀,대형,대관,(사)밀레니엄심포니오케스트라
411,취약 등급 누락,E,C,2024 국립합창단 여름합창축제 <Summer Paradiso>,2024-08-21,클래식,콘서트홀,대형,대관,(재)국립합창단
446,취약 등급 누락,E,C,2024 빈 필하모닉 내한공연,2024-10-23,클래식,콘서트홀,대형,대관,더블유씨엔코리아주식회사
464,취약 등급 누락,E,C,랑랑 피아노 리사이틀,2024-11-30,클래식,콘서트홀,대형,대관,(주)마스트미디어
